"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","cor.train_mean","AUC.valid_mean","ll.valid_mean","nagel.valid_mean","plr.valid_mean","cor.valid_mean"
926,0.6,0,0.75,1,0.001,1,0.1,"relu",0.9,0.3,0.682970869903725,-37.2400765173839,0.0368714854979173,1.08223669502251,0.219794149157064,0.567278954112264,-9.68665649308256,0.0121595069176634,1.03132237098479,0.0841009133978024
402,0.8,0.4,0,1,0.002,2,0.1,"relu",0.4,0.9,0.686862369328496,-35.0954867064117,0.11189684357755,1.63916562130328,0.231804163577551,0.56727794983192,-10.1720160388201,-0.0721163414553761,1.22582407476327,0.0846741929726326
627,1,1,0,0.5,0.001,2,0.2,"relu",1,0.5,0.690173984655297,-35.2403584783615,0.109226477339978,1.51990602026321,0.235199932141959,0.56727535744397,-9.98253556015011,-0.0372558961850972,1.18734478657061,0.0862080491526521
258,0.8,0.8,0,0,0.002,1,0.1,"relu",1,0.7,0.686688854414648,-35.2829826885934,0.108992913039606,1.53314041169444,0.231386330902151,0.567257807725011,-10.0451158005061,-0.0498339088380332,1.19254415577527,0.0844633552475195
540,0.8,0.4,0,0.25,0.002,2,0.1,"relu",0.4,0.1,0.686828664606852,-35.097564153457,0.11183995256004,1.63750729116626,0.231873083613015,0.567256059632178,-10.1696505701181,-0.0716219817666263,1.22513815808284,0.0846678784990299
523,0.4,0,0,0.5,0.002,2,0.1,"relu",0.9,0.5,0.686831866524277,-35.0975864166358,0.111838295001125,1.6374313068693,0.231873189233635,0.567255674151856,-10.1694792367199,-0.0715960835112323,1.22512692930154,0.0846669250718976
943,1,0.4,0,0.5,0.002,2,0.1,"relu",0.7,0.2,0.686834390865269,-35.0976171287516,0.111837100225104,1.63738388130963,0.231872457429239,0.567247151076807,-10.1694073906609,-0.0715760021833484,1.22512568380255,0.0846670012708019
914,1,0,0,0.25,0.002,2,0.2,"relu",0.9,0.7,0.686819426411575,-35.0974911136601,0.111842150697186,1.63762017751039,0.231873642231324,0.567240934333622,-10.1698623034051,-0.0716647790583883,1.2251635784281,0.0846651674184533
885,1,0.4,1,1,0.001,1,0.1,"relu",0.5,0.3,0.682855991550773,-37.4234238958829,0.0302354180655271,1.06458578129612,0.218888063549539,0.567236745093644,-9.7003778289123,0.0105116258155717,1.02475306940821,0.0843375401845358
796,0.6,0.4,0,0.25,0.002,2,0.1,"relu",0.9,0,0.686806366027463,-35.0976780087162,0.111834551298048,1.6372678299048,0.231870850465458,0.567232582937037,-10.1691792234965,-0.0715349187809859,1.22509353269432,0.084666772394384
207,1,0.2,0,1,0.002,2,0.2,"relu",0.5,0.8,0.68685064748607,-35.0971639843608,0.111858047943872,1.63818021022517,0.231877534840651,0.567226346002939,-10.17105775003,-0.0718622895341506,1.22532656741274,0.0846777119937259
491,1,0,0,0.5,0.002,2,0.2,"relu",0.8,0.1,0.686837874387011,-35.0976698584637,0.111835124547927,1.63733171707652,0.231871944243808,0.567223364372821,-10.1692996170099,-0.0715560186723031,1.22508476627734,0.0846647192070235
389,0.2,0.2,0,0.75,0.002,1,0.2,"relu",0.7,1,0.687239475226077,-35.1012247741446,0.111916161224445,1.64366086919856,0.230319551477949,0.567222483925726,-10.1868055855164,-0.0736447590986969,1.22713383863096,0.085161825069073
857,0.8,0,0,1,0.002,2,0.1,"relu",0.2,0.5,0.686854348091789,-35.0970900844111,0.11186118360493,1.63830730635716,0.231878554713777,0.567216232707853,-10.1713116682553,-0.071902249875745,1.22537034725192,0.084681372897841
427,0.6,0.2,0,0.25,0.002,2,0.2,"relu",0.6,0.8,0.68684533547519,-35.0972446351869,0.111854275026015,1.6380686194631,0.231876072256987,0.567208715265067,-10.1708662215973,-0.0718246008730969,1.22528417025578,0.0846731476882741
633,0.6,0,1,1,0.001,1,0.1,"relu",0.6,0.5,0.682859092836266,-37.4231403068983,0.0302358696653864,1.06458774181702,0.218889751330702,0.567186595783983,-9.70037689470076,0.0105121659269427,1.02475455035681,0.0843374462339501
592,0.4,0,0.75,1,0.001,1,0.2,"relu",0.8,0.2,0.682978851358562,-37.2401419515274,0.0368714468446183,1.08223580483609,0.2197937986992,0.567185127204963,-9.68665900227353,0.0121603119662662,1.03132410553305,0.0841024155620277
309,0.4,0.4,1,1,0.001,1,0.1,"relu",0.6,0.4,0.682867581178495,-37.4266760763284,0.0302289579951371,1.06456362648654,0.218871834997533,0.567177780141023,-9.70032821288084,0.0105105801709687,1.02474938366699,0.0843242669593779
543,0.2,0.2,0.25,0,0.002,2,0.1,"relu",0.7,0.7,0.603056381939838,-37.718306436849,0.0186318277319108,1.04891463479227,0.125738642589596,0.567156431043356,-9.7548029714633,0.005190181511614,1.01783662112869,0.0808813928969523
945,0.4,0.2,0,0,0.002,2,0.1,"relu",0.1,0.6,0.686864871211058,-35.094803714835,0.111918629592981,1.64024812843532,0.23172099458672,0.567128908109417,-10.172464994018,-0.0723647317994786,1.22650663963837,0.0846954782333992
456,1,0.8,0,0,0.002,1,0.1,"relu",0.8,0.4,0.686837072520411,-35.1361671651501,0.110624432822123,1.58007620060523,0.23160778791658,0.567089640247227,-10.0777813873312,-0.0568557999604599,1.20715813019248,0.0849675332194398
235,0.4,0.4,0.75,1,0.001,1,0.2,"relu",0.6,0.4,0.682964254286951,-37.2595748289245,0.036819967331597,1.08204136474868,0.219740527108436,0.567088069218511,-9.68935045727307,0.0121466533346166,1.03125414362798,0.0841789856016272
477,1,0.6,0,1,0.002,1,0.1,"relu",0.1,0.8,0.687087659591313,-35.0998951444935,0.111869774209601,1.63854823149016,0.230682658902966,0.567029415596229,-10.1744247340477,-0.0730003950112398,1.22689653603344,0.0852002774188326
548,0.2,0.4,0,0.75,0.002,1,0.2,"relu",0.7,0.5,0.686805238452439,-35.2420151963338,0.109577877657511,1.54603455662735,0.231567337577886,0.567010417353188,-10.057397091001,-0.0522570145174145,1.19678406865514,0.0844560315486032
996,0.4,0,1,1,0.001,1,0.2,"relu",0.5,0.9,0.682835054498154,-37.4308142380059,0.0300189028284269,1.06425759473332,0.218840483172723,0.567007486948459,-9.70242351650305,0.0103647567338211,1.02447732902144,0.0842251210817442
